,Date,Temperature,Pressure
163,2024-04-20 06:00:00,4.3481104,952.402496
164,2024-04-20 07:00:00,7.87636608,1104.011264
165,2024-04-20 08:00:00,7.97842496,967.7776
166,2024-04-20 09:00:00,7.90146368,1140.422016
167,2024-04-20 10:00:00,5.63798272,1129.075456
168,2024-04-20 11:00:00,6.50737152,640.608384
169,2024-04-20 12:00:00,3.75426304,656.68608
170,2024-04-20 13:00:00,6.74306688,810.113344
171,2024-04-20 14:00:00,3.48385632,885.279936
172,2024-04-20 15:00:00,7.08571584,767.297536
173,2024-04-20 16:00:00,5.26667936,781.1936
174,2024-04-20 17:00:00,6.23652608,712.999744
175,2024-04-20 18:00:00,4.36780544,863.578624
176,2024-04-20 19:00:00,6.25464704,977.224768
177,2024-04-20 20:00:00,2.41726368,898.540928
178,2024-04-20 21:00:00,3.51533952,695.1104
179,2024-04-20 22:00:00,3.68072064,517.169088
180,2024-04-20 23:00:00,6.0700672,805.954944
181,2024-04-21 00:00:00,5.4629824,794.312896
182,2024-04-21 01:00:00,4.66119776,920.340672
183,2024-04-21 02:00:00,4.88164,899.1776
184,2024-04-21 03:00:00,6.94569536,752.8496
185,2024-04-21 04:00:00,4.86246752,899.76768
186,2024-04-21 05:00:00,7.22335104,896.082048
187,2024-04-21 06:00:00,4.1032112,980.553856
188,2024-04-21 07:00:00,7.4859424,1112.34944
189,2024-04-21 08:00:00,7.85713984,989.341568
190,2024-04-21 09:00:00,8.1065696,1129.83616
191,2024-04-21 10:00:00,5.28871744,1125.633792
192,2024-04-21 11:00:00,6.41938624,707.831424
193,2024-04-21 12:00:00,3.3637344,734.53376
194,2024-04-21 13:00:00,6.61325376,856.550336
195,2024-04-21 14:00:00,3.3578304,926.461504
196,2024-04-21 15:00:00,6.74350976,816.482048
197,2024-04-21 16:00:00,4.90786112,831.778304
198,2024-04-21 17:00:00,5.84260416,759.277632
199,2024-04-21 18:00:00,4.0863312,896.479104
200,2024-04-21 19:00:00,5.79494016,977.02656
201,2024-04-21 20:00:00,2.37689232,913.116992
202,2024-04-21 21:00:00,2.93591616,679.498752
203,2024-04-21 22:00:00,3.73007232,531.403744
204,2024-04-21 23:00:00,5.83166336,816.887488
205,2024-04-22 00:00:00,5.23022176,789.51136
206,2024-04-22 01:00:00,4.73129088,903.103936
207,2024-04-22 02:00:00,4.84838624,881.589632
208,2024-04-22 03:00:00,6.82032704,777.608832
209,2024-04-22 04:00:00,4.85122208,860.69216
210,2024-04-22 05:00:00,7.06269248,874.764864
211,2024-04-22 06:00:00,4.0114,982.09984
212,2024-04-22 07:00:00,7.41244352,1085.592448
213,2024-04-22 08:00:00,7.5029472,964.622208
214,2024-04-22 09:00:00,7.7466592,1096.05312
215,2024-04-22 10:00:00,5.00224096,1114.375552
216,2024-04-22 11:00:00,6.46403776,743.469952
217,2024-04-22 12:00:00,2.993824,779.462528
218,2024-04-22 13:00:00,6.38212416,878.106112
219,2024-04-22 14:00:00,2.95118784,955.485184
220,2024-04-22 15:00:00,6.46840768,843.68928
221,2024-04-22 16:00:00,4.35960448,880.429376
222,2024-04-22 17:00:00,5.19411328,812.43136
223,2024-04-22 18:00:00,3.52513248,948.934464
224,2024-04-22 19:00:00,5.27647136,987.910528
225,2024-04-22 20:00:00,1.8856336,947.350592
226,2024-04-22 21:00:00,2.24545872,713.393856
227,2024-04-22 22:00:00,3.51950592,555.809664
228,2024-04-22 23:00:00,5.41449472,858.045632
229,2024-04-23 00:00:00,5.0648064,816.932416
230,2024-04-23 01:00:00,4.82037312,899.480192
231,2024-04-23 02:00:00,4.77557856,880.994944
232,2024-04-23 03:00:00,6.86885632,793.518976
233,2024-04-23 04:00:00,4.67357152,858.337728
234,2024-04-23 05:00:00,6.83576064,886.142016
235,2024-04-23 06:00:00,3.56742208,1028.034176
236,2024-04-23 07:00:00,7.10587008,1112.835328
237,2024-04-23 08:00:00,7.23405504,989.892928
238,2024-04-23 09:00:00,7.72403904,1102.820864
239,2024-04-23 10:00:00,4.5689568,1121.824384
